city,state,geoid,Total housing units,Vacant housing units,Occupied housing units,Owner occupied housing units,Renter occupied housing units,Median gross rent,Total households,Family households,Family households - Married couple family,Family households - Other family,"Family households - Other family - M householder,no wife","Family households - Other family - F householder,no husband",Nonfamily households,Nonfamily households - Householder living alone,Nonfamily households - Householder not living alone,Total household population,In family households,In family households - married couple,In family households - married couple - Relatives,In family households - married couple - Nonrelatives,"In family households - M householder,no wife","In family households - M householder,no wife - Relatives","In family households - M householder,no wife - Nonrelatives","In family households - F householder,no husband","In family households - F householder,no husband - Relatives","In family households - F householder,no husband - Nonrelatives",In nonfamily households
"Jersey City","New Jersey","16000US3436000",110003.0,12859.0,97144.0,28956.0,68188.0,1172.0,97144.0,60792.0,36676.0,24116.0,6249.0,17867.0,36352.0,26695.0,9657.0,251847.0,202978.0,120043.0,118628.0,1415.0,23258.0,21269.0,1989.0,59677.0,57730.0,1947.0,48869.0
"Johnsonburg","New Jersey","16000US3436150",57.0,0.0,57.0,36.0,21.0,,57.0,36.0,3.0,33.0,11.0,22.0,21.0,11.0,10.0,123.0,93.0,6.0,6.0,0.0,22.0,22.0,0.0,65.0,58.0,7.0,30.0
"Juliustown","New Jersey","16000US3436300",123.0,19.0,104.0,92.0,12.0,,104.0,95.0,81.0,14.0,0.0,14.0,9.0,9.0,0.0,323.0,314.0,249.0,249.0,0.0,0.0,0.0,0.0,65.0,55.0,10.0,9.0
"Keansburg","New Jersey","16000US3436480",4372.0,375.0,3997.0,2198.0,1799.0,1097.0,3997.0,2548.0,1564.0,984.0,182.0,802.0,1449.0,1206.0,243.0,9937.0,8181.0,5314.0,5289.0,25.0,464.0,408.0,56.0,2403.0,2313.0,90.0,1756.0
"Kearny","New Jersey","16000US3436510",14162.0,789.0,13373.0,6197.0,7176.0,1176.0,13373.0,10620.0,7367.0,3253.0,1171.0,2082.0,2753.0,2323.0,430.0,40190.0,36844.0,26113.0,25990.0,123.0,3803.0,3306.0,497.0,6928.0,6565.0,363.0,3346.0
"Kendall Park","New Jersey","16000US3436660",3122.0,102.0,3020.0,2675.0,345.0,1165.0,3020.0,2451.0,2094.0,357.0,118.0,239.0,569.0,519.0,50.0,9345.0,8661.0,7584.0,7524.0,60.0,316.0,300.0,16.0,761.0,684.0,77.0,684.0
"Kenilworth","New Jersey","16000US3436690",2776.0,40.0,2736.0,2258.0,478.0,1387.0,2736.0,2040.0,1447.0,593.0,137.0,456.0,696.0,522.0,174.0,7901.0,6990.0,4866.0,4866.0,0.0,395.0,382.0,13.0,1729.0,1604.0,125.0,911.0
"Kenvil","New Jersey","16000US3436720",1022.0,6.0,1016.0,842.0,174.0,1342.0,1016.0,697.0,556.0,141.0,29.0,112.0,319.0,272.0,47.0,2638.0,2281.0,1910.0,1910.0,0.0,97.0,72.0,25.0,274.0,260.0,14.0,357.0
"Keyport","New Jersey","16000US3436810",3402.0,154.0,3248.0,1655.0,1593.0,982.0,3248.0,1570.0,1198.0,372.0,81.0,291.0,1678.0,1428.0,250.0,7231.0,5164.0,3890.0,3884.0,6.0,280.0,254.0,26.0,994.0,951.0,43.0,2067.0
"Kingston","New Jersey","16000US3436930",737.0,98.0,639.0,403.0,236.0,1394.0,639.0,322.0,247.0,75.0,16.0,59.0,317.0,276.0,41.0,1310.0,951.0,693.0,693.0,0.0,31.0,31.0,0.0,227.0,227.0,0.0,359.0
"Kingston Estates","New Jersey","16000US3436960",2583.0,359.0,2224.0,1692.0,532.0,1160.0,2224.0,1477.0,1300.0,177.0,34.0,143.0,747.0,660.0,87.0,5681.0,4757.0,4091.0,4091.0,0.0,128.0,128.0,0.0,538.0,538.0,0.0,924.0
"Kinnelon","New Jersey","16000US3437110",3619.0,86.0,3533.0,3201.0,332.0,1805.0,3533.0,2898.0,2542.0,356.0,102.0,254.0,635.0,553.0,82.0,10271.0,9549.0,8454.0,8454.0,0.0,368.0,305.0,63.0,727.0,679.0,48.0,722.0
"Lake Como","New Jersey","16000US3437560",1059.0,249.0,810.0,490.0,320.0,1500.0,810.0,410.0,277.0,133.0,26.0,107.0,400.0,349.0,51.0,1780.0,1330.0,925.0,925.0,0.0,109.0,105.0,4.0,296.0,266.0,30.0,450.0
"Lakehurst","New Jersey","16000US3437770",1039.0,60.0,979.0,655.0,324.0,1426.0,979.0,695.0,494.0,201.0,29.0,172.0,284.0,202.0,82.0,2659.0,2278.0,1643.0,1643.0,0.0,88.0,72.0,16.0,547.0,482.0,65.0,381.0
"Lake Mohawk","New Jersey","16000US3438040",4124.0,275.0,3849.0,3509.0,340.0,778.0,3849.0,2717.0,2401.0,316.0,125.0,191.0,1132.0,1013.0,119.0,9819.0,8477.0,7630.0,7625.0,5.0,320.0,285.0,35.0,527.0,444.0,83.0,1342.0
"Lake Telemark","New Jersey","16000US3438430",461.0,18.0,443.0,443.0,0.0,,443.0,408.0,328.0,80.0,30.0,50.0,35.0,7.0,28.0,1478.0,1415.0,1130.0,1130.0,0.0,123.0,123.0,0.0,162.0,142.0,20.0,63.0
"Lakewood","New Jersey","16000US3438580",11091.0,1135.0,9956.0,3590.0,6366.0,1300.0,9956.0,8563.0,7062.0,1501.0,414.0,1087.0,1393.0,1220.0,173.0,49359.0,47737.0,40888.0,40523.0,365.0,2255.0,1832.0,423.0,4594.0,3848.0,746.0,1622.0
"Lambertville","New Jersey","16000US3438610",2032.0,92.0,1940.0,1208.0,732.0,1139.0,1940.0,872.0,716.0,156.0,42.0,114.0,1068.0,866.0,202.0,3855.0,2583.0,2138.0,2138.0,0.0,124.0,87.0,37.0,321.0,272.0,49.0,1272.0
"Laurel Lake","New Jersey","16000US3439120",1367.0,258.0,1109.0,804.0,305.0,1002.0,1109.0,783.0,498.0,285.0,48.0,237.0,326.0,292.0,34.0,2869.0,2492.0,1630.0,1591.0,39.0,153.0,119.0,34.0,709.0,698.0,11.0,377.0
"Laurel Springs","New Jersey","16000US3439210",738.0,57.0,681.0,548.0,133.0,871.0,681.0,512.0,386.0,126.0,46.0,80.0,169.0,111.0,58.0,1968.0,1696.0,1218.0,1218.0,0.0,194.0,152.0,42.0,284.0,271.0,13.0,272.0
"Laurence Harbor","New Jersey","16000US3439360",2654.0,138.0,2516.0,1872.0,644.0,1279.0,2516.0,1671.0,1286.0,385.0,176.0,209.0,845.0,720.0,125.0,6467.0,5462.0,4373.0,4373.0,0.0,562.0,491.0,71.0,527.0,527.0,0.0,1005.0
"Lavallette","New Jersey","16000US3439390",3198.0,2158.0,1040.0,884.0,156.0,1278.0,1040.0,728.0,614.0,114.0,37.0,77.0,312.0,282.0,30.0,2276.0,1931.0,1627.0,1627.0,0.0,75.0,75.0,0.0,229.0,219.0,10.0,345.0
"Lawnside","New Jersey","16000US3439420",1104.0,97.0,1007.0,812.0,195.0,920.0,1007.0,744.0,369.0,375.0,83.0,292.0,263.0,256.0,7.0,2930.0,2659.0,1216.0,1200.0,16.0,361.0,309.0,52.0,1082.0,1036.0,46.0,271.0
"Lawrenceville","New Jersey","16000US3439570",1730.0,65.0,1665.0,1490.0,175.0,1631.0,1665.0,963.0,759.0,204.0,35.0,169.0,702.0,536.0,166.0,3671.0,2774.0,2187.0,2187.0,0.0,121.0,121.0,0.0,466.0,466.0,0.0,897.0
"Lebanon","New Jersey","16000US3439630",689.0,44.0,645.0,406.0,239.0,1679.0,645.0,391.0,331.0,60.0,6.0,54.0,254.0,199.0,55.0,1610.0,1295.0,1155.0,1153.0,2.0,16.0,13.0,3.0,124.0,119.0,5.0,315.0
"Leisure Knoll","New Jersey","16000US3439883",1647.0,118.0,1529.0,1511.0,18.0,,1529.0,773.0,728.0,45.0,0.0,45.0,756.0,686.0,70.0,2457.0,1627.0,1534.0,1534.0,0.0,0.0,0.0,0.0,93.0,93.0,0.0,830.0
"Leisuretowne","New Jersey","16000US3439885",2420.0,276.0,2144.0,1972.0,172.0,1164.0,2144.0,966.0,817.0,149.0,20.0,129.0,1178.0,1098.0,80.0,3394.0,2124.0,1749.0,1749.0,0.0,42.0,42.0,0.0,333.0,312.0,21.0,1270.0
"Leisure Village","New Jersey","16000US3439900",3166.0,426.0,2740.0,1907.0,833.0,1514.0,2740.0,966.0,606.0,360.0,32.0,328.0,1774.0,1705.0,69.0,4545.0,2704.0,1578.0,1578.0,0.0,124.0,88.0,36.0,1002.0,984.0,18.0,1841.0
"Leisure Village East","New Jersey","16000US3439910",3101.0,206.0,2895.0,2647.0,248.0,1150.0,2895.0,1228.0,1076.0,152.0,10.0,142.0,1667.0,1532.0,135.0,4374.0,2562.0,2240.0,2240.0,0.0,20.0,20.0,0.0,302.0,302.0,0.0,1812.0
"Leisure Village West","New Jersey","16000US3439916",2579.0,137.0,2442.0,2278.0,164.0,1098.0,2442.0,923.0,816.0,107.0,37.0,70.0,1519.0,1471.0,48.0,3507.0,1939.0,1703.0,1703.0,0.0,76.0,76.0,0.0,160.0,160.0,0.0,1568.0
"Leonardo","New Jersey","16000US3439990",967.0,47.0,920.0,732.0,188.0,1417.0,920.0,680.0,457.0,223.0,88.0,135.0,240.0,227.0,13.0,2316.0,2064.0,1439.0,1439.0,0.0,210.0,199.0,11.0,415.0,395.0,20.0,252.0
"Leonia","New Jersey","16000US3440020",3508.0,80.0,3428.0,2173.0,1255.0,1444.0,3428.0,2620.0,2027.0,593.0,113.0,480.0,808.0,767.0,41.0,8933.0,8083.0,6567.0,6567.0,0.0,298.0,283.0,15.0,1218.0,1175.0,43.0,850.0
"Lincoln Park","New Jersey","16000US3440290",4317.0,302.0,4015.0,3032.0,983.0,1422.0,4015.0,2732.0,2096.0,636.0,237.0,399.0,1283.0,1078.0,205.0,9850.0,8339.0,6477.0,6465.0,12.0,679.0,624.0,55.0,1183.0,1173.0,10.0,1511.0
"Lincroft","New Jersey","16000US3440320",2162.0,0.0,2162.0,1923.0,239.0,798.0,2162.0,1799.0,1601.0,198.0,65.0,133.0,363.0,297.0,66.0,6243.0,5815.0,5147.0,5110.0,37.0,246.0,236.0,10.0,422.0,422.0,0.0,428.0
"Linden","New Jersey","16000US3440350",16032.0,1334.0,14698.0,8432.0,6266.0,1113.0,14698.0,9963.0,6297.0,3666.0,944.0,2722.0,4735.0,4184.0,551.0,40437.0,35023.0,22959.0,22643.0,316.0,3332.0,2956.0,376.0,8732.0,8303.0,429.0,5414.0
"Lindenwold","New Jersey","16000US3440440",8424.0,892.0,7532.0,3057.0,4475.0,917.0,7532.0,4038.0,2358.0,1680.0,416.0,1264.0,3494.0,2646.0,848.0,17613.0,13001.0,7678.0,7613.0,65.0,1503.0,1396.0,107.0,3820.0,3593.0,227.0,4612.0
"Linwood","New Jersey","16000US3440530",2793.0,196.0,2597.0,2301.0,296.0,1169.0,2597.0,1876.0,1527.0,349.0,101.0,248.0,721.0,597.0,124.0,7018.0,6143.0,5079.0,5072.0,7.0,305.0,282.0,23.0,759.0,755.0,4.0,875.0
"Little Ferry","New Jersey","16000US3440680",4229.0,282.0,3947.0,1788.0,2159.0,1283.0,3947.0,2769.0,2151.0,618.0,172.0,446.0,1178.0,1056.0,122.0,10633.0,9314.0,7008.0,7000.0,8.0,784.0,606.0,178.0,1522.0,1476.0,46.0,1319.0
"Little Silver","New Jersey","16000US3440770",2207.0,129.0,2078.0,2014.0,64.0,2001.0,2078.0,1647.0,1418.0,229.0,53.0,176.0,431.0,336.0,95.0,5970.0,5423.0,4639.0,4610.0,29.0,212.0,199.0,13.0,572.0,547.0,25.0,547.0
"Loch Arbour","New Jersey","16000US3441010",160.0,73.0,87.0,73.0,14.0,1550.0,87.0,56.0,42.0,14.0,6.0,8.0,31.0,16.0,15.0,242.0,193.0,155.0,155.0,0.0,18.0,13.0,5.0,20.0,20.0,0.0,49.0
"Lodi","New Jersey","16000US3441100",10038.0,776.0,9262.0,3454.0,5808.0,1157.0,9262.0,5715.0,3289.0,2426.0,475.0,1951.0,3547.0,3152.0,395.0,24155.0,20116.0,11843.0,11566.0,277.0,1935.0,1706.0,229.0,6338.0,6026.0,312.0,4039.0
"Long Branch","New Jersey","16000US3441310",14721.0,2564.0,12157.0,4794.0,7363.0,1223.0,12157.0,6960.0,4722.0,2238.0,611.0,1627.0,5197.0,4263.0,934.0,30559.0,24124.0,16095.0,15942.0,153.0,2120.0,1565.0,555.0,5909.0,5144.0,765.0,6435.0
"Longport","New Jersey","16000US3441370",1646.0,1124.0,522.0,470.0,52.0,1325.0,522.0,280.0,235.0,45.0,7.0,38.0,242.0,217.0,25.0,979.0,698.0,583.0,583.0,0.0,19.0,19.0,0.0,96.0,92.0,4.0,281.0
"Long Valley","New Jersey","16000US3441400",614.0,8.0,606.0,528.0,78.0,1404.0,606.0,364.0,299.0,65.0,28.0,37.0,242.0,164.0,78.0,1400.0,1077.0,909.0,909.0,0.0,66.0,62.0,4.0,102.0,102.0,0.0,323.0
"Lopatcong Overlook","New Jersey","16000US3441495",382.0,36.0,346.0,308.0,38.0,2001.0,346.0,209.0,137.0,72.0,0.0,72.0,137.0,81.0,56.0,811.0,617.0,468.0,466.0,2.0,0.0,0.0,0.0,149.0,149.0,0.0,194.0
"Mcguire Afb","New Jersey","16000US3442390",1339.0,331.0,1008.0,0.0,1008.0,1856.0,1008.0,832.0,732.0,100.0,17.0,83.0,176.0,103.0,73.0,3425.0,3148.0,2786.0,2786.0,0.0,71.0,71.0,0.0,291.0,261.0,30.0,277.0
"Madison","New Jersey","16000US3442510",5810.0,290.0,5520.0,3807.0,1713.0,1567.0,5520.0,3716.0,3074.0,642.0,180.0,462.0,1804.0,1481.0,323.0,14294.0,12081.0,10266.0,10208.0,58.0,476.0,432.0,44.0,1339.0,1254.0,85.0,2213.0
"Madison Park","New Jersey","16000US3442540",2784.0,191.0,2593.0,750.0,1843.0,1042.0,2593.0,1790.0,1223.0,567.0,184.0,383.0,803.0,688.0,115.0,6835.0,5793.0,4099.0,4099.0,0.0,614.0,560.0,54.0,1080.0,984.0,96.0,1042.0
"Magnolia","New Jersey","16000US3442630",1947.0,134.0,1813.0,1257.0,556.0,891.0,1813.0,1084.0,778.0,306.0,39.0,267.0,729.0,634.0,95.0,4334.0,3501.0,2622.0,2622.0,0.0,113.0,99.0,14.0,766.0,766.0,0.0,833.0
"Manahawkin","New Jersey","16000US3442930",1021.0,208.0,813.0,545.0,268.0,1258.0,813.0,510.0,405.0,105.0,50.0,55.0,303.0,229.0,74.0,1858.0,1476.0,1131.0,1131.0,0.0,156.0,156.0,0.0,189.0,189.0,0.0,382.0
"Manasquan","New Jersey","16000US3443050",3646.0,1193.0,2453.0,1830.0,623.0,1233.0,2453.0,1578.0,1386.0,192.0,69.0,123.0,875.0,725.0,150.0,5902.0,4822.0,4219.0,4219.0,0.0,287.0,268.0,19.0,316.0,303.0,13.0,1080.0
"Mantoloking","New Jersey","16000US3443380",478.0,258.0,220.0,214.0,6.0,1750.0,220.0,132.0,122.0,10.0,1.0,9.0,88.0,87.0,1.0,417.0,327.0,298.0,298.0,0.0,3.0,3.0,0.0,26.0,22.0,4.0,90.0
"Manville","New Jersey","16000US3443620",4415.0,589.0,3826.0,2600.0,1226.0,1231.0,3826.0,2661.0,1893.0,768.0,233.0,535.0,1165.0,967.0,198.0,10353.0,8827.0,6403.0,6299.0,104.0,731.0,694.0,37.0,1693.0,1615.0,78.0,1526.0
"Margate City","New Jersey","16000US3443890",7138.0,4044.0,3094.0,2444.0,650.0,1031.0,3094.0,1906.0,1469.0,437.0,92.0,345.0,1188.0,1089.0,99.0,6456.0,5154.0,3893.0,3891.0,2.0,278.0,273.0,5.0,983.0,940.0,43.0,1302.0
"Marksboro","New Jersey","16000US3443980",20.0,0.0,20.0,17.0,3.0,,20.0,11.0,7.0,4.0,0.0,4.0,9.0,0.0,9.0,42.0,24.0,17.0,17.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,18.0
"Marlton","New Jersey","16000US3444100",4252.0,173.0,4079.0,2887.0,1192.0,1141.0,4079.0,2615.0,2015.0,600.0,243.0,357.0,1464.0,1206.0,258.0,9952.0,8215.0,6488.0,6488.0,0.0,758.0,701.0,57.0,969.0,947.0,22.0,1737.0
"Martinsville","New Jersey","16000US3444430",4120.0,52.0,4068.0,3995.0,73.0,2001.0,4068.0,3093.0,2772.0,321.0,115.0,206.0,975.0,844.0,131.0,11544.0,10431.0,9532.0,9438.0,94.0,316.0,316.0,0.0,583.0,527.0,56.0,1113.0
"Matawan","New Jersey","16000US3444520",3678.0,234.0,3444.0,2328.0,1116.0,1211.0,3444.0,2331.0,2055.0,276.0,47.0,229.0,1113.0,921.0,192.0,8744.0,7438.0,6541.0,6508.0,33.0,150.0,107.0,43.0,747.0,718.0,29.0,1306.0
"Mays Landing","New Jersey","16000US3444820",760.0,10.0,750.0,661.0,89.0,1399.0,750.0,476.0,344.0,132.0,6.0,126.0,274.0,249.0,25.0,1774.0,1475.0,988.0,969.0,19.0,23.0,22.0,1.0,464.0,432.0,32.0,299.0
"Maywood","New Jersey","16000US3444880",3909.0,200.0,3709.0,2627.0,1082.0,1191.0,3709.0,2660.0,1975.0,685.0,184.0,501.0,1049.0,880.0,169.0,9525.0,8295.0,6327.0,6309.0,18.0,561.0,508.0,53.0,1407.0,1341.0,66.0,1230.0
"Medford Lakes","New Jersey","16000US3445210",1590.0,34.0,1556.0,1405.0,151.0,1905.0,1556.0,1178.0,979.0,199.0,62.0,137.0,378.0,346.0,32.0,4157.0,3744.0,3215.0,3210.0,5.0,160.0,147.0,13.0,369.0,361.0,8.0,413.0
"Mendham","New Jersey","16000US3445330",1690.0,63.0,1627.0,1386.0,241.0,2001.0,1627.0,1231.0,1111.0,120.0,15.0,105.0,396.0,370.0,26.0,4602.0,4175.0,3697.0,3697.0,0.0,92.0,92.0,0.0,386.0,386.0,0.0,427.0
"Mercerville","New Jersey","16000US3445480",5070.0,148.0,4922.0,4089.0,833.0,1120.0,4922.0,3524.0,2978.0,546.0,189.0,357.0,1398.0,1155.0,243.0,12699.0,11016.0,9470.0,9244.0,226.0,584.0,568.0,16.0,962.0,906.0,56.0,1683.0
"Merchantville","New Jersey","16000US3445510",1725.0,89.0,1636.0,1012.0,624.0,1085.0,1636.0,888.0,585.0,303.0,99.0,204.0,748.0,627.0,121.0,3806.0,2911.0,2015.0,1969.0,46.0,261.0,232.0,29.0,635.0,590.0,45.0,895.0
"Metuchen","New Jersey","16000US3445690",5448.0,165.0,5283.0,4204.0,1079.0,1534.0,5283.0,3554.0,2889.0,665.0,129.0,536.0,1729.0,1492.0,237.0,13568.0,11566.0,9388.0,9359.0,29.0,373.0,351.0,22.0,1805.0,1690.0,115.0,2002.0
"Middlebush","New Jersey","16000US3445870",750.0,0.0,750.0,642.0,108.0,1932.0,750.0,556.0,544.0,12.0,0.0,12.0,194.0,164.0,30.0,2168.0,1929.0,1899.0,1899.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,239.0
"Middlesex","New Jersey","16000US3445900",5117.0,198.0,4919.0,3837.0,1082.0,1206.0,4919.0,3656.0,2961.0,695.0,202.0,493.0,1263.0,1168.0,95.0,13636.0,12245.0,10087.0,10087.0,0.0,714.0,643.0,71.0,1444.0,1390.0,54.0,1391.0
"Midland Park","New Jersey","16000US3446110",2766.0,47.0,2719.0,1985.0,734.0,1494.0,2719.0,1902.0,1711.0,191.0,28.0,163.0,817.0,746.0,71.0,7116.0,6171.0,5709.0,5693.0,16.0,75.0,75.0,0.0,387.0,387.0,0.0,945.0
"Milford","New Jersey","16000US3446260",522.0,20.0,502.0,344.0,158.0,1049.0,502.0,309.0,254.0,55.0,6.0,49.0,193.0,179.0,14.0,1145.0,936.0,800.0,800.0,0.0,12.0,12.0,0.0,124.0,119.0,5.0,209.0
"Millstone","New Jersey","16000US3446590",168.0,7.0,161.0,134.0,27.0,1413.0,161.0,109.0,85.0,24.0,13.0,11.0,52.0,47.0,5.0,406.0,348.0,269.0,267.0,2.0,37.0,34.0,3.0,42.0,42.0,0.0,58.0
"Milltown","New Jersey","16000US3446620",2570.0,0.0,2570.0,2053.0,517.0,1301.0,2570.0,1985.0,1618.0,367.0,112.0,255.0,585.0,480.0,105.0,6909.0,6188.0,5226.0,5182.0,44.0,325.0,325.0,0.0,637.0,604.0,33.0,721.0
"Millville","New Jersey","16000US3446680",11166.0,997.0,10169.0,6387.0,3782.0,858.0,10169.0,6564.0,3928.0,2636.0,635.0,2001.0,3605.0,2978.0,627.0,28345.0,23808.0,14380.0,14333.0,47.0,1886.0,1716.0,170.0,7542.0,6921.0,621.0,4537.0
"Monmouth Beach","New Jersey","16000US3447130",2100.0,497.0,1603.0,1333.0,270.0,1736.0,1603.0,964.0,847.0,117.0,13.0,104.0,639.0,593.0,46.0,3298.0,2610.0,2329.0,2329.0,0.0,26.0,26.0,0.0,255.0,255.0,0.0,688.0
"Monmouth Junction","New Jersey","16000US3447190",913.0,0.0,913.0,817.0,96.0,1487.0,913.0,730.0,660.0,70.0,22.0,48.0,183.0,153.0,30.0,2898.0,2653.0,2481.0,2464.0,17.0,59.0,59.0,0.0,113.0,113.0,0.0,245.0
"Montvale","New Jersey","16000US3447610",2863.0,85.0,2778.0,2241.0,537.0,1677.0,2778.0,2208.0,1881.0,327.0,33.0,294.0,570.0,486.0,84.0,7814.0,7159.0,6180.0,6180.0,0.0,68.0,68.0,0.0,911.0,911.0,0.0,655.0
"Moonachie","New Jersey","16000US3447700",1197.0,75.0,1122.0,861.0,261.0,961.0,1122.0,745.0,502.0,243.0,55.0,188.0,377.0,348.0,29.0,2711.0,2302.0,1522.0,1516.0,6.0,206.0,190.0,16.0,574.0,556.0,18.0,409.0
"Moorestown Lenola","New Jersey","16000US3447895",5610.0,333.0,5277.0,4014.0,1263.0,1174.0,5277.0,3769.0,2894.0,875.0,255.0,620.0,1508.0,1317.0,191.0,13766.0,11952.0,9235.0,9228.0,7.0,814.0,781.0,33.0,1903.0,1705.0,198.0,1814.0
"Morganville","New Jersey","16000US3448030",1356.0,55.0,1301.0,1263.0,38.0,,1301.0,1196.0,968.0,228.0,25.0,203.0,105.0,86.0,19.0,4333.0,4209.0,3471.0,3471.0,0.0,71.0,71.0,0.0,667.0,667.0,0.0,124.0
"Morris Plains","New Jersey","16000US3448210",2115.0,59.0,2056.0,1787.0,269.0,1705.0,2056.0,1415.0,1269.0,146.0,33.0,113.0,641.0,551.0,90.0,5274.0,4531.0,4025.0,4001.0,24.0,193.0,133.0,60.0,313.0,313.0,0.0,743.0
"Morristown","New Jersey","16000US3448300",8838.0,839.0,7999.0,3280.0,4719.0,1374.0,7999.0,3690.0,2413.0,1277.0,336.0,941.0,4309.0,3494.0,815.0,17797.0,12116.0,7753.0,7556.0,197.0,1228.0,959.0,269.0,3135.0,2892.0,243.0,5681.0
"Mountain Lake","New Jersey","16000US3448450",376.0,71.0,305.0,263.0,42.0,692.0,305.0,207.0,167.0,40.0,6.0,34.0,98.0,60.0,38.0,693.0,558.0,473.0,473.0,0.0,16.0,16.0,0.0,69.0,69.0,0.0,135.0
"Mountain Lakes","New Jersey","16000US3448480",1362.0,64.0,1298.0,1235.0,63.0,2001.0,1298.0,1167.0,1078.0,89.0,54.0,35.0,131.0,118.0,13.0,4206.0,4060.0,3799.0,3790.0,9.0,131.0,131.0,0.0,130.0,121.0,9.0,146.0
"Mountainside","New Jersey","16000US3448510",2501.0,124.0,2377.0,2198.0,179.0,1394.0,2377.0,1777.0,1619.0,158.0,65.0,93.0,600.0,561.0,39.0,6476.0,5744.0,5197.0,5197.0,0.0,217.0,199.0,18.0,330.0,308.0,22.0,732.0
"Mount Arlington","New Jersey","16000US3448690",2796.0,320.0,2476.0,1912.0,564.0,1398.0,2476.0,1387.0,1126.0,261.0,81.0,180.0,1089.0,1062.0,27.0,5090.0,3959.0,3164.0,3164.0,0.0,276.0,218.0,58.0,519.0,519.0,0.0,1131.0
"Mount Ephraim","New Jersey","16000US3448750",2042.0,143.0,1899.0,1545.0,354.0,855.0,1899.0,1176.0,902.0,274.0,50.0,224.0,723.0,549.0,174.0,4657.0,3716.0,2850.0,2840.0,10.0,155.0,155.0,0.0,711.0,672.0,39.0,941.0
"Mount Hermon","New Jersey","16000US3448840",48.0,0.0,48.0,39.0,9.0,1000.0,48.0,42.0,34.0,8.0,2.0,6.0,6.0,6.0,0.0,158.0,152.0,116.0,116.0,0.0,12.0,12.0,0.0,24.0,17.0,7.0,6.0
"Mullica Hill","New Jersey","16000US3449440",1703.0,22.0,1681.0,1299.0,382.0,1068.0,1681.0,1340.0,1016.0,324.0,122.0,202.0,341.0,293.0,48.0,4700.0,4267.0,3377.0,3247.0,130.0,281.0,252.0,29.0,609.0,596.0,13.0,433.0
"Mystic Island","New Jersey","16000US3449560",5292.0,1833.0,3459.0,2911.0,548.0,1477.0,3459.0,2366.0,1773.0,593.0,182.0,411.0,1093.0,940.0,153.0,8164.0,6876.0,5124.0,5124.0,0.0,501.0,474.0,27.0,1251.0,1193.0,58.0,1288.0
"National Park","New Jersey","16000US3449680",1099.0,50.0,1049.0,869.0,180.0,1315.0,1049.0,801.0,583.0,218.0,56.0,162.0,248.0,218.0,30.0,3025.0,2702.0,1954.0,1950.0,4.0,164.0,142.0,22.0,584.0,536.0,48.0,323.0
"Navesink","New Jersey","16000US3449740",611.0,93.0,518.0,392.0,126.0,1375.0,518.0,386.0,352.0,34.0,15.0,19.0,132.0,113.0,19.0,1721.0,1570.0,1494.0,1480.0,14.0,39.0,39.0,0.0,37.0,37.0,0.0,151.0
"Neptune City","New Jersey","16000US3449920",2279.0,182.0,2097.0,1345.0,752.0,1180.0,2097.0,1351.0,912.0,439.0,156.0,283.0,746.0,671.0,75.0,4773.0,3942.0,2799.0,2799.0,0.0,348.0,326.0,22.0,795.0,775.0,20.0,831.0
"Netcong","New Jersey","16000US3450130",1538.0,100.0,1438.0,668.0,770.0,1109.0,1438.0,903.0,596.0,307.0,119.0,188.0,535.0,497.0,38.0,3246.0,2669.0,1806.0,1806.0,0.0,316.0,255.0,61.0,547.0,511.0,36.0,577.0
"Newark","New Jersey","16000US3451000",109016.0,16537.0,92479.0,20422.0,72057.0,927.0,92479.0,59220.0,25204.0,34016.0,6706.0,27310.0,33259.0,27829.0,5430.0,264039.0,221133.0,95012.0,93299.0,1713.0,24646.0,20442.0,4204.0,101475.0,97982.0,3493.0,42906.0
"New Brunswick","New Jersey","16000US3451210",15214.0,1061.0,14153.0,3170.0,10983.0,1322.0,14153.0,8385.0,3827.0,4558.0,1287.0,3271.0,5768.0,3517.0,2251.0,48169.0,35911.0,15597.0,15124.0,473.0,7218.0,5115.0,2103.0,13096.0,11636.0,1460.0,12258.0
"New Egypt","New Jersey","16000US3451360",862.0,121.0,741.0,528.0,213.0,914.0,741.0,485.0,396.0,89.0,34.0,55.0,256.0,239.0,17.0,1807.0,1533.0,1340.0,1323.0,17.0,70.0,70.0,0.0,123.0,123.0,0.0,274.0
"Newfield","New Jersey","16000US3451390",667.0,38.0,629.0,509.0,120.0,1022.0,629.0,489.0,344.0,145.0,49.0,96.0,140.0,115.0,25.0,1712.0,1545.0,1125.0,1125.0,0.0,142.0,136.0,6.0,278.0,259.0,19.0,167.0
"New Milford","New Jersey","16000US3451660",6174.0,227.0,5947.0,3688.0,2259.0,1160.0,5947.0,3986.0,3375.0,611.0,154.0,457.0,1961.0,1835.0,126.0,16100.0,14013.0,12070.0,12061.0,9.0,463.0,463.0,0.0,1480.0,1448.0,32.0,2087.0
"New Providence","New Jersey","16000US3451810",4366.0,132.0,4234.0,3229.0,1005.0,1310.0,4234.0,3290.0,2981.0,309.0,45.0,264.0,944.0,739.0,205.0,12029.0,10817.0,9760.0,9747.0,13.0,128.0,116.0,12.0,929.0,830.0,99.0,1212.0
