city,state,geoid,Total housing units,Vacant housing units,Occupied housing units,Owner occupied housing units,Renter occupied housing units,Median gross rent,Total households,Family households,Family households - Married couple family,Family households - Other family,"Family households - Other family - M householder,no wife","Family households - Other family - F householder,no husband",Nonfamily households,Nonfamily households - Householder living alone,Nonfamily households - Householder not living alone,Total household population,In family households,In family households - married couple,In family households - married couple - Relatives,In family households - married couple - Nonrelatives,"In family households - M householder,no wife","In family households - M householder,no wife - Relatives","In family households - M householder,no wife - Nonrelatives","In family households - F householder,no husband","In family households - F householder,no husband - Relatives","In family households - F householder,no husband - Nonrelatives",In nonfamily households
"Carteret","New Jersey","16000US3410750",8035.0,486.0,7549.0,4424.0,3125.0,1233.0,7549.0,5956.0,3882.0,2074.0,690.0,1384.0,1593.0,1526.0,67.0,23448.0,21779.0,14947.0,14876.0,71.0,2377.0,2091.0,286.0,4455.0,4312.0,143.0,1669.0
"Cedar Glen Lakes","New Jersey","16000US3411140",1235.0,127.0,1108.0,1071.0,37.0,,1108.0,468.0,383.0,85.0,26.0,59.0,640.0,597.0,43.0,1644.0,962.0,780.0,780.0,0.0,56.0,56.0,0.0,126.0,126.0,0.0,682.0
"Cedar Glen West","New Jersey","16000US3411155",959.0,263.0,696.0,627.0,69.0,502.0,696.0,207.0,172.0,35.0,0.0,35.0,489.0,453.0,36.0,994.0,464.0,342.0,342.0,0.0,0.0,0.0,0.0,122.0,122.0,0.0,530.0
"Cedarville","New Jersey","16000US3411410",319.0,19.0,300.0,216.0,84.0,1014.0,300.0,250.0,187.0,63.0,34.0,29.0,50.0,46.0,4.0,805.0,751.0,602.0,573.0,29.0,64.0,64.0,0.0,85.0,73.0,12.0,54.0
"Chatham","New Jersey","16000US3412100",3111.0,156.0,2955.0,2323.0,632.0,1474.0,2955.0,2359.0,2021.0,338.0,55.0,283.0,596.0,476.0,120.0,8929.0,8111.0,7267.0,7234.0,33.0,151.0,151.0,0.0,693.0,693.0,0.0,818.0
"Cherry Hill Mall","New Jersey","16000US3412385",5640.0,325.0,5315.0,3735.0,1580.0,1320.0,5315.0,3674.0,3040.0,634.0,206.0,428.0,1641.0,1351.0,290.0,14010.0,11902.0,10056.0,10023.0,33.0,482.0,456.0,26.0,1364.0,1364.0,0.0,2108.0
"Chesilhurst","New Jersey","16000US3412550",597.0,28.0,569.0,488.0,81.0,1045.0,569.0,381.0,241.0,140.0,53.0,87.0,188.0,164.0,24.0,1581.0,1369.0,803.0,794.0,9.0,210.0,194.0,16.0,356.0,328.0,28.0,212.0
"Chester","New Jersey","16000US3412580",594.0,37.0,557.0,417.0,140.0,1071.0,557.0,418.0,358.0,60.0,8.0,52.0,139.0,130.0,9.0,1536.0,1382.0,1214.0,1172.0,42.0,23.0,23.0,0.0,145.0,145.0,0.0,154.0
"Clayton","New Jersey","16000US3413360",3200.0,201.0,2999.0,2403.0,596.0,1141.0,2999.0,2190.0,1481.0,709.0,232.0,477.0,809.0,537.0,272.0,8154.0,7065.0,4780.0,4780.0,0.0,835.0,698.0,137.0,1450.0,1327.0,123.0,1089.0
"Clearbrook Park","New Jersey","16000US3413399",1918.0,196.0,1722.0,1589.0,133.0,1483.0,1722.0,702.0,662.0,40.0,0.0,40.0,1020.0,935.0,85.0,2531.0,1423.0,1334.0,1334.0,0.0,0.0,0.0,0.0,89.0,89.0,0.0,1108.0
"Clementon","New Jersey","16000US3413420",2271.0,99.0,2172.0,1403.0,769.0,763.0,2172.0,1137.0,728.0,409.0,60.0,349.0,1035.0,922.0,113.0,5006.0,3805.0,2366.0,2286.0,80.0,234.0,223.0,11.0,1205.0,1186.0,19.0,1201.0
"Cliffside Park","New Jersey","16000US3413570",10949.0,775.0,10174.0,4744.0,5430.0,1241.0,10174.0,6534.0,4476.0,2058.0,669.0,1389.0,3640.0,3320.0,320.0,23738.0,19756.0,13723.0,13723.0,0.0,1768.0,1693.0,75.0,4265.0,3987.0,278.0,3982.0
"Cliffwood Beach","New Jersey","16000US3413630",1187.0,19.0,1168.0,1113.0,55.0,743.0,1168.0,884.0,565.0,319.0,157.0,162.0,284.0,182.0,102.0,3305.0,2893.0,1797.0,1791.0,6.0,655.0,644.0,11.0,441.0,413.0,28.0,412.0
"Clifton","New Jersey","16000US3413690",30975.0,1657.0,29318.0,17893.0,11425.0,1261.0,29318.0,20574.0,14126.0,6448.0,2288.0,4160.0,8744.0,7886.0,858.0,83706.0,73735.0,50862.0,50862.0,0.0,8044.0,7002.0,1042.0,14829.0,14091.0,738.0,9971.0
"Clinton","New Jersey","16000US3413720",993.0,15.0,978.0,757.0,221.0,1193.0,978.0,703.0,524.0,179.0,48.0,131.0,275.0,207.0,68.0,2705.0,2321.0,1803.0,1803.0,0.0,161.0,117.0,44.0,357.0,340.0,17.0,384.0
"Closter","New Jersey","16000US3413810",2869.0,61.0,2808.0,2353.0,455.0,1853.0,2808.0,2402.0,2143.0,259.0,81.0,178.0,406.0,366.0,40.0,8333.0,7887.0,7149.0,7129.0,20.0,243.0,233.0,10.0,495.0,489.0,6.0,446.0
"Clyde","New Jersey","16000US3413990",81.0,0.0,81.0,66.0,15.0,,81.0,67.0,67.0,0.0,0.0,0.0,14.0,14.0,0.0,318.0,304.0,304.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
"Collings Lakes","New Jersey","16000US3414230",581.0,70.0,511.0,406.0,105.0,1288.0,511.0,431.0,338.0,93.0,11.0,82.0,80.0,40.0,40.0,1423.0,1302.0,978.0,978.0,0.0,58.0,46.0,12.0,266.0,231.0,35.0,121.0
"Collingswood","New Jersey","16000US3414260",6850.0,625.0,6225.0,3365.0,2860.0,1016.0,6225.0,3153.0,2208.0,945.0,215.0,730.0,3072.0,2431.0,641.0,13849.0,9904.0,6872.0,6839.0,33.0,780.0,667.0,113.0,2252.0,2026.0,226.0,3945.0
"Colonia","New Jersey","16000US3414380",6145.0,124.0,6021.0,5463.0,558.0,1235.0,6021.0,4815.0,4100.0,715.0,140.0,575.0,1206.0,1057.0,149.0,17254.0,15885.0,13703.0,13685.0,18.0,422.0,402.0,20.0,1760.0,1656.0,104.0,1369.0
"Columbia","New Jersey","16000US3414590",76.0,12.0,64.0,31.0,33.0,1588.0,64.0,51.0,51.0,0.0,0.0,0.0,13.0,13.0,0.0,200.0,187.0,187.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
"Concordia","New Jersey","16000US3414758",2250.0,220.0,2030.0,1827.0,203.0,1391.0,2030.0,925.0,862.0,63.0,0.0,63.0,1105.0,994.0,111.0,3146.0,1918.0,1758.0,1758.0,0.0,0.0,0.0,0.0,160.0,160.0,0.0,1228.0
