County,Municipality,DLGSCode,LD,CD,Area15,Area16,Area17,Area18,Dens15,Dens16,Dens17,Dens18,Pop15,Pop16,Pop17,Pop18,PopE15,PopE16,PopE17,PopE18,PopCh15,PopCh16,PopCh17,PopCh18
Bergen,Montvale,236,39,5,4,4,4,4,2111,2127,2181,2150,7844,7844,7844,7844,8442,8506,8724,8600,7.62,8.44,11.22,9.64
Bergen,Moonachie,237,36,9,1.66,1.66,1.66,1.66,1680,1681,1687,1652,2708,2708,2708,2708,2788,2790,2800,2743,2.95,3.03,3.4,1.29
Bergen,New Milford,238,38,5,2.27,2.27,2.27,2.27,7401,7383,7431,7294,16341,16341,16341,16341,16801,16759,16868,16558,2.82,2.56,3.23,1.33
Bergen,North Arlington,239,36,9,2.56,2.56,2.56,2.56,6213,6198,6254,6149,15392,15392,15392,15392,15904,15868,16009,15741,3.33,3.09,4.01,2.27
Bergen,Northvale,240,37,5,1.3,1.3,1.3,1.3,3738,3795,3835,3787,4640,4640,4640,4640,4859,4933,4985,4923,4.72,6.31,7.44,6.1
Bergen,Norwood,241,39,5,2.73,2.73,2.73,2.73,2150,2146,2159,2136,5711,5711,5711,5711,5869,5858,5895,5831,2.77,2.57,3.22,2.1
Bergen,Oakland,242,39,5,8.45,8.45,8.45,8.45,1558,1554,1565,1541,12754,12754,12754,12754,13165,13130,13224,13021,3.22,2.95,3.69,2.09
Bergen,Old Tappan,243,39,5,3.33,3.33,3.33,3.33,1807,1802,1814,1786,5750,5750,5750,5750,6016,6002,6042,5946,4.63,4.38,5.08,3.41
Bergen,Oradell,244,38,5,2.42,2.42,2.42,2.42,3396,3396,3436,3386,7978,7978,7978,7978,8218,8219,8314,8193,3.01,3.02,4.21,2.69
Bergen,Palisades Park,245,37,9,1.25,1.25,1.25,1.25,16594,16602,16790,16656,19622,19622,19622,19622,20743,20753,20988,20820,5.71,5.76,6.96,6.11
Bergen,Paramus,246,38,5,10.47,10.47,10.47,10.47,2576,2567,2582,2537,26342,26342,26342,26342,26974,26880,27032,26558,2.4,2.04,2.62,0.82
Bergen,Park Ridge,247,39,5,2.58,2.58,2.58,2.58,3457,3450,3467,3405,8645,8645,8645,8645,8919,8900,8944,8786,3.17,2.95,3.46,1.63
Bergen,Ramsey,248,39,5,5.52,5.52,5.52,5.52,2736,2738,2761,2716,14473,14473,14473,14473,15102,15116,15242,14991,4.35,4.44,5.31,3.58
Bergen,Ridgefield,249,36,9,2.55,2.55,2.55,2.55,4460,4454,4484,4418,11032,11032,11032,11032,11373,11357,11435,11265,3.09,2.95,3.65,2.11
Bergen,Ridgefield Park,250,36,9,1.72,1.72,1.72,1.72,7617,7592,7648,7563,12729,12729,12729,12729,13102,13059,13154,13009,2.93,2.59,3.34,2.2
Bergen,Ridgewood,251,40,5,5.75,5.75,5.75,5.75,4456,4441,4468,4395,24958,24958,24958,24958,25621,25533,25692,25272,2.66,2.3,2.94,1.26
Bergen,River Edge,252,38,5,1.85,1.85,1.85,1.85,6307,6296,6337,6233,11340,11340,11340,11340,11668,11647,11724,11531,2.89,2.71,3.39,1.68
Bergen,River Vale,253,39,5,4.01,4.01,4.01,4.01,2502,2531,2549,2509,9659,9659,9659,9659,10033,10148,10223,10062,3.87,5.06,5.84,4.17
Bergen,Rochelle Park,254,38,5,1.04,1.04,1.04,1.04,5464,5451,5486,5398,5530,5530,5530,5530,5683,5669,5705,5614,2.77,2.51,3.16,1.52
Bergen,Rockleigh,255,37,5,0.97,0.97,0.97,0.97,549,549,551,549,531,531,531,531,533,533,534,533,0.38,0.38,0.56,0.38
Bergen,Rutherford,256,36,9,2.81,2.81,2.81,2.81,6651,6632,6684,6569,18061,18061,18061,18061,18690,18635,18782,18460,3.48,3.18,3.99,2.21
Bergen,Saddle Brook,257,38,9,2.69,2.69,2.69,2.69,5241,5230,5267,5178,13659,13659,13659,13659,14098,14069,14169,13930,3.21,3,3.73,1.98
Bergen,Saddle River,258,39,5,4.92,4.92,4.92,4.92,662,658,663,650,3152,3152,3152,3152,3255,3237,3262,3197,3.27,2.7,3.49,1.43
Bergen,South Hackensack,259,36,9,0.72,0.72,0.72,0.72,3424,3411,3461,3425,2378,2378,2378,2378,2465,2456,2492,2466,3.66,3.28,4.79,3.7
Bergen,Teaneck,260,37,5,6.01,6.01,6.01,6.01,6817,6824,6874,6759,39776,39776,39776,39776,40972,41010,41311,40619,3.01,3.1,3.86,2.12
Bergen,Tenafly,261,37,9,4.6,4.6,4.6,4.6,3235,3227,3239,3183,14488,14488,14488,14488,14880,14846,14900,14641,2.71,2.47,2.84,1.06
Bergen,Teterboro,262,36,9,1.16,1.16,1.16,1.16,59,59,59,59,67,67,67,67,69,69,69,68,2.99,2.99,2.99,1.49
Bergen,Upper Saddle River,263,39,5,5.26,5.26,5.26,5.26,1593,1583,1600,1572,8208,8208,8208,8208,8379,8326,8415,8270,2.08,1.44,2.52,0.76
Bergen,Waldwick,264,40,5,2.07,2.07,2.07,2.07,4877,4843,4875,4931,9625,9625,9625,9625,10095,10026,10092,10207,4.88,4.17,4.85,6.05
Bergen,Wallington,265,36,9,0.98,0.98,0.98,0.98,11955,11928,12021,11828,11335,11335,11335,11335,11716,11689,11781,11591,3.36,3.12,3.93,2.26
Bergen,Washington Twp,266,39,5,2.91,2.91,2.91,2.91,3222,3215,3228,3177,9102,9102,9102,9102,9375,9355,9393,9246,3,2.78,3.2,1.58
Bergen,Westwood,267,39,5,2.27,2.27,2.27,2.27,4955,4949,4989,4914,10908,10908,10908,10908,11247,11235,11326,11155,3.11,3,3.83,2.26
Bergen,Wood-Ridge,269,36,9,1.1,1.1,1.1,1.1,7499,7818,8198,8326,7626,7626,7626,7626,8249,8600,9018,9159,8.17,12.77,18.25,20.1
Bergen,Woodcliff Lake,268,39,5,3.41,3.41,3.41,3.41,1735,1728,1731,1719,5730,5730,5730,5730,5917,5891,5903,5862,3.26,2.81,3.02,2.3
Bergen,Wyckoff,270,40,5,6.55,6.55,6.55,6.55,2630,2629,2645,2606,16696,16696,16696,16696,17224,17221,17322,17068,3.16,3.14,3.75,2.23
Burlington,Bass River,301,9,2,75.04,75.04,75.04,75.04,19,19,19,19,1443,1443,1443,1443,1449,1443,1436,1422,0.42,0,-0.49,-1.46
Burlington,Beverly,302,7,3,0.55,0.55,0.55,0.55,4653,4569,4553,4516,2577,2577,2577,2577,2559,2513,2504,2484,-0.7,-2.48,-2.83,-3.61
Burlington,Bordentown,303,7,3,0.93,0.93,0.93,0.93,4174,4141,4124,4087,3924,3924,3924,3924,3882,3851,3835,3801,-1.07,-1.86,-2.27,-3.13
Burlington,Bordentown Twp,304,7,3,8.51,8.51,8.51,8.51,1402,1421,1434,1404,11367,11367,11367,11367,11935,12095,12202,11946,5,6.4,7.35,5.09
Burlington,Burlington,305,7,3,3.06,3.06,3.06,3.06,3205,3224,3213,3230,9920,9920,9920,9920,9808,9866,9832,9884,-1.13,-0.54,-0.89,-0.36
