geoid,ams_bus,bus_vac,bus_vac_rate
34003015300,56,4,0.07142857142857142
34003024200,73,6,0.0821917808219178
34003030200,209,18,0.0861244019138756
34003002200,422,8,0.018957345971563982
34037373900,13,0,0
34037374700,192,3,0.015625
34037373500,256,15,0.05859375
34041031102,34,4,0.11764705882352941
34003055100,227,16,0.07048458149779736
34027041500,331,71,0.21450151057401812
34041031302,149,6,0.040268456375838924
34037374500,20,3,0.15
34003054100,134,6,0.04477611940298507
34041031301,220,12,0.05454545454545454
34003028002,47,1,0.02127659574468085
34003003401,8,0,0
34003010100,62,5,0.08064516129032258
34027046300,403,24,0.05955334987593052
34027045402,191,34,0.17801047120418848
34027046298,306,10,0.032679738562091505
34023001415,126,24,0.19047619047619047
34023001413,76,4,0.05263157894736842
34019011500,219,38,0.1735159817351598
34023001506,342,4,0.011695906432748537
34023001504,194,17,0.08762886597938144
34023007905,76,6,0.07894736842105263
34035051500,87,10,0.11494252873563218
34023006300,395,15,0.0379746835443038
34035053703,56,5,0.08928571428571429
34027041604,203,17,0.08374384236453201
34019010400,35,2,0.05714285714285714
34027044101,131,46,0.3511450381679389
34027043700,503,35,0.06958250497017893
34023008102,19,1,0.05263157894736842
34035053105,113,10,0.08849557522123894
34023006900,309,26,0.08414239482200647
34023005300,202,4,0.019801980198019802
34023004100,46,16,0.34782608695652173
34035050400,667,43,0.06446776611694154
34025802400,128,5,0.0390625
34025803201,182,19,0.1043956043956044
34025804200,281,2,0.0071174377224199285
34025805700,165,1,0.006060606060606061
34025811501,73,12,0.1643835616438356
34025801900,124,21,0.1693548387096774
34025801800,120,23,0.19166666666666668
34025802200,63,3,0.047619047619047616
34025811301,173,14,0.08092485549132948
34025809502,263,29,0.11026615969581749
34025804800,348,13,0.03735632183908046
34007603301,404,45,0.11138613861386139
34025809501,271,0,0
34023007910,226,0,0
34025808100,242,1,0.004132231404958678
34025807004,52,0,0
34023001100,180,12,0.06666666666666667
34025803600,909,13,0.014301430143014302
34025805100,632,23,0.03639240506329114
34025806600,174,10,0.05747126436781609
34025807300,62,0,0
34015500500,115,7,0.06086956521739131
34005702209,0,0,NA
34029734002,171,0,0
34007607702,119,1,0.008403361344537815
34015502001,87,0,0
34015501406,95,2,0.021052631578947368
34005700103,4,0,0
34005700701,38,1,0.02631578947368421
34015502200,146,6,0.0410958904109589
34015501603,375,11,0.029333333333333333
34015501210,15,0,0
34015501212,63,0,0
34007608404,46,3,0.06521739130434782
34015502400,376,6,0.015957446808510637
34005703000,499,8,0.01603206412825651
34007607506,66,10,0.15151515151515152
34005700407,147,12,0.08163265306122448
34007607503,496,0,0
34029735002,150,3,0.02
34009021805,43,6,0.13953488372093023
34015501103,567,26,0.04585537918871252
34007601300,157,4,0.025477707006369428
34007602902,64,1,0.015625
34007601500,128,3,0.0234375
34007603001,104,3,0.028846153846153848
