GEOID,pop2016
"34019010802",1945
"34019010900",3527
"34019011001",7092
"34019011002",5865
"34019011100",5270
"34019011201",7219
"34019011202",3391
"34019011301",6375
"34019011302",7548
"34019011303",4641
"34019011304",3499
"34019011400",4624
"34019011500",5048
"34019011600",5129
"34019011700",3888
"34019011800",2774
"34019011900",3820
"34021000100",3281
"34021000200",4042
"34021000300",4084
"34021000400",4672
"34021000500",4814
"34021000600",4658
"34021000700",3524
"34021000800",2270
"34021000900",3452
"34021001000",2722
"34021001101",2526
"34021001102",3459
"34021001200",4050
"34021001300",4570
"34021001401",3878
"34021001402",1873
"34021001500",2851
"34021001600",1178
"34021001700",3399
"34021001800",4570
"34021001900",1717
"34021002000",1401
"34021002100",4577
"34021002200",5601
"34021002400",565
"34021002500",6751
"34021002601",4566
"34021002602",4255
"34021002701",4100
"34021002702",5597
"34021002800",7829
"34021002902",4454
"34021002903",3286
"34021002904",4910
"34021003001",5488
"34021003002",5325
"34021003003",6349
"34021003004",5280
"34021003006",5609
"34021003007",3301
"34021003008",5101
"34021003009",5598
"34021003100",4545
"34021003201",7884
"34021003202",5623
"34021003301",6847
"34021003302",7895
"34021003400",2313
"34021003500",6823
"34021003601",3664
"34021003602",3612
"34021003703",7087
"34021003704",2805
"34021003705",6239
"34021003706",3514
"34021003800",7412
"34021003902",1940
"34021003903",2527
"34021003904",5913
"34021003905",4899
"34021004000",5832
"34021004201",7814
"34021004203",4041
"34021004204",5314
"34021004301",8761
"34021004304",8082
"34021004306",5537
"34021004307",5627
"34021004309",4507
"34021004310",9738
"34021004403",5413
"34021004404",7067
"34021004405",8188
"34021004406",4986
"34021004407",7053
"34021004501",6549
"34021004502",1178
"34023000100",7633
"34023000200",6026
"34023000300",7284
"34023000401",3604
"34023000403",5704
"34023000404",4709
"34023000501",4513
"34023000502",6194
"34023000603",2021
"34023000606",7095
"34023000608",1738
"34023000701",3352
"34023000702",5170
"34023000801",4062
"34023000802",2815
"34023000901",2390
"34023000902",4557
"34023001001",2544
"34023001002",7538
"34023001100",4516
"34023001200",5107
"34023001300",4369
"34023001409",3318
"34023001410",4141
"34023001411",3189
"34023001412",3344
"34023001413",5483
"34023001414",5182
"34023001415",5084
"34023001416",9164
"34023001417",2023
"34023001502",6063
"34023001504",5690
"34023001505",2176
"34023001506",5705
"34023001600",4986
"34023001701",5159
"34023001702",3561
"34023001803",3199
"34023001804",4224
"34023001805",5070
"34023001901",5128
"34023001902",2198
"34023001903",3502
"34023002000",4008
"34023002101",2193
"34023002102",3923
"34023002200",3734
"34023002301",3866
"34023002302",3543
"34023002401",5435
"34023002402",1616
"34023002500",6605
"34023002603",5106
"34023002604",6235
"34023002605",2775
"34023002701",5705
"34023002703",5504
"34023002805",2508
"34023002901",3398
"34023002902",3376
"34023003001",4122
"34023003002",6103
"34023003101",2552
