GEOID,totpop18,pop18_017,pop18_1864,pop18_017P,pop18_1864P
"34003033300",3466,699,1974,20.1673398730525,56.9532602423543
"34003034000",7263,1713,4317,23.5852953325072,59.4382486575795
"34003035100",8438,2097,4792,24.8518606304812,56.7907086987438
"34003035200",5816,1337,3479,22.9883081155433,59.8177441540578
"34003036100",2687,523,1771,19.464086341645,65.9099367324153
"34003036200",2739,642,1522,23.4392113910186,55.5677254472435
"34003037100",5648,1317,3458,23.3179886685552,61.2252124645892
"34003037201",3847,810,2365,21.0553678190798,61.4764751754614
"34003037202",7083,1263,4676,17.8314273612876,66.0172243399689
"34003038100",5613,1156,3411,20.5950472118297,60.7696419027258
"34003038200",4218,735,2836,17.425320056899,67.2356567093409
"34003038300",5893,1042,3711,17.6819955879857,62.973018835907
"34003039100",4166,1062,2471,25.4920787325972,59.3134901584254
"34003039200",5976,1513,3733,25.3179384203481,62.4665327978581
"34003039300",2867,630,1621,21.9741890477851,56.5399372166027
"34003040001",3566,836,2026,23.4436343241727,56.8143578238923
"34003040002",4568,1217,2600,26.6418563922942,56.9176882661996
"34003041100",5870,1054,4082,17.9557069846678,69.5400340715503
"34003041200",4499,664,2993,14.7588352967326,66.5258946432541
"34003041301",5638,886,4072,15.7147924796027,72.2241929762327
"34003041302",4547,604,3313,13.2834836155707,72.8612271827579
"34003042100",7404,1571,4248,21.2182603997839,57.3743922204214
"34003042301",4425,760,2516,17.1751412429379,56.8587570621469
"34003042302",5757,919,3073,15.9631752648949,53.3784957443113
"34003042400",4468,1004,2730,22.4709042076992,61.101163831692
"34003042500",4559,888,2682,19.4779556920377,58.8286905023031
"34003043001",4184,1080,2322,25.8126195028681,55.4971319311663
"34003043002",4620,886,2709,19.1774891774892,58.6363636363636
"34003044100",6268,1651,3577,26.3401403956605,57.0676451818762
"34003044201",3747,1065,2168,28.4227381905524,57.8596210301575
"34003044202",4948,891,3152,18.0072756669361,63.7025060630558
"34003045100",8325,1537,5604,18.4624624624625,67.3153153153153
"34003045200",2923,617,1935,21.1084502223743,66.199110502908
"34003046100",4418,857,2953,19.3979176097782,66.8401991851516
"34003046200",3923,898,2509,22.8906449146062,63.9561560030589
"34003046300",4593,949,3087,20.6618767689963,67.2109732201176
"34003047100",6009,1723,3312,28.6736561823931,55.117324013979
"34003047200",4447,1516,2366,34.0903980211378,53.2044074657072
"34003047300",3166,1001,1688,31.6171825647505,53.3164876816172
"34003047400",4729,1233,2931,26.0731655741172,61.9792768027067
"34003047500",6918,2222,3774,32.1191095692397,54.5533391153513
"34003048100",3884,959,2497,24.6910401647786,64.2893923789907
"34003048200",7646,1888,4654,24.6926497515041,60.8684279361758
"34003049001",4487,1120,2575,24.9609984399376,57.3880098061065
"34003049002",5489,1370,3084,24.9590089269448,56.1850974676626
"34003050000",5613,982,3358,17.495100659184,59.8254053091039
"34003051100",6130,1219,4210,19.8858075040783,68.6786296900489
"34003051200",2577,590,1529,22.894838960031,59.3325572370974
"34003051300",4536,817,3097,18.0114638447972,68.2760141093474
"34003051400",5184,1271,3205,24.5177469135802,61.8248456790123
"34003052100",7727,1331,4938,17.2253138346059,63.9057849100557
"34003052200",6191,1202,3947,19.4152802455177,63.7538362138588
"34003053100",3212,573,1624,17.8393524283935,50.560398505604
"34003053200",8242,2393,4740,29.0342149963601,57.5103130308178
"34003054100",8340,1836,5239,22.0143884892086,62.8177458033573
